user_id,1u_friends,2u_friends,in_degree,out_degree
681df9b23b6b9d0730554b3f4dbcb494,349,1225,0,349
9e73fe418afd711c593122b27f667317,151,2593,0,151
e54427030184c2bd6146b35f6e3ef518,3,117,0,3
1fdebc3f06e412dd16b693079bb60138,97,3662,0,97
cbf6d10f9dcc130f7142fdcd6e17fb31,90,247,0,90
2c32416d2b6f15bc8ecdf813552ca511,136,6560,0,136
1b2d2865a8fe597f8069e8da5451b06b,4,3359,0,4
1b6273a150c53276028c36e8ac205730,221,3611,0,221
668bd8f7068c54a731520c95aa1bdec5,140,880,0,140
cd6cce9d7202e608fcf5ebcbad0bad9d,499,1890,0,499
b645d192eba48d4e827cbe6daaf97fb7,218,1919,1,217
f6d9ae904a480206e5e8778411710315,7,1,0,7
327471fd2b74d3ea2628d7278b4b2768,125,1076,0,125
950a81941b27657641b086a8bd3995b8,656,4061,0,656
bf6f5dc4cc4de0c8013ba038fc5115a0,122,4007,0,122
499925a86594ec72a0b2b8d575a669e5,88,4697,0,88
5e754417c4d8fd9b230494709fa286c6,88,3380,0,88
a4418672acee85811e4dcc66c8e1d98a,174,1254,0,174
c240877aa60a124fa3f7d0acd29fe41c,135,700,0,135
7d67814f81089e4b4b966de96f6204f2,28,537,0,28
a0490009e274a4a1e3b30efd334b2908,55,1989,0,55
b757bc750832b7e741afcc56d0117265,118,3060,0,118
facb45be3f79e84b4eb97036f44af9a9,649,4625,1,648
ae0fe2feb0bb9bfc59b3c2b563cd2001,102,4219,0,102
e53ac8b56ea29e8124dd599f702abc6c,2,11,2,0
2291eea5c73f50220798d993d5c4ed4f,208,5055,0,208
01b864a850a9ea2363be4c8bd8b5eaae,87,4586,0,87
8b5a781ad4f4b801907447da06c132b8,26,3,0,26
8bf260866f3958388399bb68cfc8da80,132,2705,0,132
a26e3a431c95c13128565f630b5e4c50,1,1,0,1
d80cf47e16aee079f97275e5065ef716,341,4515,0,341
b866d3d771483a9a7f5fc343b141f49f,1,1,0,1
61b071a1604d71a01367860ef8a9ab55,215,840,0,215
396b3de54fee85db6e63a5380fc46542,160,2551,0,160
3871672f730a1ad231a13dfc6484d641,11,2781,0,11
0e420d4a34b7c32c90e144723cf6b1f9,117,6254,0,117
47ae1b75508627a278bb40137d0ad54f,414,6558,0,414
cfa157658a3c1b3779c97fe5f8248d7c,295,5644,0,295
36dc35f3c3a225cff1a0dd8cab1736af,398,4484,0,398
f0b2f9c41110bc0be4b74b0107ecd18e,7,1,0,7
203779515555dea59e8b510b0ec150b5,243,3507,0,243
946175c6617b9b1be243ae4191b3626e,180,4400,0,180
a1d4df86ea278e4e63c81d7116a207f2,107,851,0,107
3dcfbe37718f81ec1f2aee20149b5454,265,4294,0,265
e965ae4ee2a082475a8ee0431f82b644,203,405,0,203
7352e3664f85dd15aa37a0f71666486e,67,1044,2,65
78fdb94ff78fe853c4bd8c6543b5027d,192,1408,12,180
b50a736f80feeb035015a4636c48d8a4,61,32,61,0
53c852fec4a9e00ce36874b01b11efec,206,2291,0,206
1c6a9677e0bd8e02b02c64e78f62fbed,408,1783,0,408
cab9e006e1cb5e4abe7c42e7fba0de38,141,4612,0,141
0d582b96158a4e60797b0eba64b16fac,86,6398,0,86
f810a43398134143341d83e02a94df8d,123,3232,0,123
3c72c81f9eaa9595b547a9419bdbe660,174,906,0,174
6f18f769618f0c9635fe61d6d8cc3314,147,31,9,138
9444219dec53fb506e98c16215a8215f,160,1773,0,160
b328d5bd69ef6ca535fe7fe482f5a89c,187,2175,0,187
3043a30666f71d3563fa7c126737a836,34,1840,0,34
22245273ac6318371c538d13c6468bb0,373,182,0,373
51b159da6e460b37e5c0fccc3dd1e896,229,2151,0,229
98695d80e3f59c090ac0559262a09f83,24,98,0,24
efed322f1e8264d00e0a0adec111321d,126,5681,0,126
566e792cb6d3195ce2fd4a4252b5ba13,107,5066,0,107
80d67b3d54b383e05590ea869cab3f2b,1,2,0,1
09b9e0b854cf1f5a58056173d7bd02d6,1,139,1,0
84e047bc3f57c56c0ebe6e3cca7b7eba,1,62,1,0
0cfb2ed98c9c60bd5d875c84ff17b86b,90,1856,0,90
c82bee6befd2a01891e3dafc0d8b85a0,153,249,0,153
9343b10c3bbfcf35833e0cdf3f223d7b,31,2218,0,31
03c7d8ed569c671f8f44a72166aa4cc1,70,3462,0,70
158ec5e53b49ebf395618b38338c3cd4,132,145,0,132
ffed64c01e87dafae0cb54296af19d60,62,3034,0,62
f5b3b4b0467f045806af834a6b2f294e,233,5017,0,233
69d5b658d7dcdd47703c21107de1020f,187,3086,0,187
06c4eb17ec612a6eb09490d66bf9d17a,49,1269,0,49
db550f55a83a01c2d68465ed3b1b8c76,411,5274,0,411
e949ea4a5dc0e750cfeec3bc55fc75c4,62,5689,0,62
ede84c8feafd300f82b49f0e1bdafd64,29,3377,0,29
31b89cef82c881357cdb0a57865c64d7,57,1698,0,57
d088b117d140f05a87b121924987b1dc,1,1,0,1
8a487dc0985d9b0dbb2fd508aee29152,141,1216,0,141
49d3b0ee200afaf0f97699affea5671b,155,1815,21,134
b8329cbbf17f4a897a810fe672438299,123,1379,0,123
a3c717f78cb97d6b17b8e77ea08cd415,114,3365,0,114
00ec179d2c169a720f8f5e1885a4ad9a,362,1817,0,362
6471cb9bcb5e23310c3e3aca506f818f,4,1,0,4
b1e1cfa20eeaf9c734d2c6c5069ffb78,261,4377,0,261
81e84201618c061af216499e12919395,92,1817,20,72
ebabb0a2354635bfc9cf5ff6a13ad008,132,3290,0,132
e00a03abcb1d13e8db7a1b73da3f8c90,221,801,0,221
2c8061a5ff9a6f54a7aedf935b12a7d7,252,3861,0,252
392632495dc7e7888976a8ecbf24b0a4,668,6191,0,668
11b4317ad1de576566142c17b6613067,78,3427,0,78
431632a801578ba16af1188614e0cb39,436,3973,0,436
fda5325667b0ee91af462be57370b53e,225,1802,0,225
1ebec814317e335b248594b9541aeb6b,261,2548,0,261
b0882c651db2df884a29cbd1e3911317,372,275,0,372
486679086665e3b7ea26027ae5163a5f,93,86,0,93
3dda15bcedcfc22133ba5b52617288df,6,11,0,6
b5cdc3acea7e8efd3d2943c1cf102843,64,3732,0,64
97804f60a0dfd79fef47f72b3bd20d8e,169,3202,0,169
d7539059c1b2af6e7d470ef602bb348b,302,4005,0,302
e0df49217e2c29c43034c81b3a5d168b,96,4168,0,96
c913bd632839af2f143e2fda341e65bf,171,867,4,167
ec0f7496c58b31abbc72807297a0ee07,157,4168,0,157
955fd581923e86b99ccd587630206e6f,97,506,0,97
b9095332ac379da1939c17862ab20793,159,5832,0,159
2706ab2c9c6f7cc8791cf309da4e16e2,121,4321,1,120
9b36032ce0ef94cda63902847fa62e58,168,2932,0,168
b9fa9088563e86f4610e516ee60ff880,143,4020,0,143
e8578e37da3fe06a601cb5cd9bf95b59,82,595,0,82
eaed2da634b37995eab52e731b13c26d,211,1856,0,211
3d2d573b32ab6fa9b7f95727c3e88ecf,303,6047,0,303
6e1c795cafabd7facb85aa9ff8653dc4,315,4106,0,315
2e464ec7e3cb2fc19980c3953bd040d4,357,1022,0,357
041e8c4f96fce3b7cfcca1f81181334e,893,6217,0,893
35e1821fc5ff2aabd511396746d2e7c2,287,4803,0,287
bc62bb3313539b909aaf2661dddc7791,359,1663,0,359
72dd7ede9333f0e0c6c494749593c521,2,1,0,2
fe237a54bae98c2c59bf15b793456fea,11,2199,0,11
1158b42adf3c68b354d145e31459fc79,30,4550,0,30
8d2868e1bbf99e50487d213115072009,180,5807,0,180
f9e428c465efb06602f6a9b6c7323be7,194,5701,0,194
96127ebf5eb74543670d4e8e617b7dc0,208,1462,0,208
9c5a70ed1845e37a81f7d0dcb4e132df,298,5417,0,298
9ccb3bf4289982c659c5ae19c469cd6b,114,4064,0,114
d97a26566913510c6918b25eef02305f,72,323,0,72
05d20d45d0c97c1afff826b4be6144c9,730,4921,0,730
49112c87b46f9b114259816f64df3d1d,41,3365,0,41
933fe3a3576f8778bb3690a6c1e12698,61,43,0,61
99d94cdd885bd7f9a70eb5c5458b0551,889,7838,0,889
89b322b7f9d9ac76a126a3a75f86075d,142,3583,0,142
6970cf62f4eebb7288593a37c9c7d6e0,134,1108,0,134
19068be8102c1352c9e582e9db0a3a7e,151,2432,0,151
f46ea3c6ed568dbef3b6cb816acff4b7,233,4342,0,233
aadf7815eb74a1a53c4f454b7fa9cf17,314,731,0,314
6802b6a9629684ce43892a84c4de8b1c,111,1163,0,111
c88700d49d52818d94b70bb22f3ad907,235,2545,0,235
baec25d6b87766c3a87e2766abaa585a,262,3914,1,261
91b9c7de8d3d70f97453d9e1547e1757,215,1618,0,215
f0144b313d5ad17cbfae56808e725c5a,60,2537,0,60
2063195f41396e93428ac032ae6817be,500,2191,0,500
6ce4bad08595c01efaa9257015c68ea6,109,3489,0,109
ad0acda80fa8d5f1932188e78c140ff3,76,4714,0,76
c4f3af62e196c6aeaf5cfd3622d8248a,28,3351,0,28
9c212db3cd1d662cfada30fbb04bcf9c,102,1903,0,102
398f7f046fd20770335fc1e915e7af52,30,2294,0,30
a3d81d5b596a51f7871855f5ae601ce9,192,5859,0,192
369a7a796c610ed966b109caec816158,61,6213,0,61
08eab5409f573000a9f4e6d277fed996,3,91,0,3
c24453df1316db0a7a8a2f9f0030dd6c,30,3393,0,30
7a2f6193de3a8765987e0aba53fe70b6,162,3639,0,162
2e1618da1733909293c00e6316446be5,119,4063,0,119
44dd0b1c04da8486db813aa44883654c,500,434,0,500
a7c51c8965907136424c471aa3c87b14,71,654,0,71
28b4092f157a0742c1a3e05bea5079e4,102,2891,0,102
3c561a1a2dbf522bb6894eff738547d9,112,1227,0,112
f4ab2a10b882ecc012bd6b655702a29b,189,1331,0,189
451d175d44f04baa1911a08a9c234df1,39,1274,0,39
5cf3058e8818bd0dcb1d01391d4f370b,308,4382,0,308
78f0ca812718c36514fcf9119421de0c,304,287,0,304
adabeec0455395c587561f212890c2dc,282,1430,4,278
27148e9f7cffe32aee18aff134c61a7c,427,1792,0,427
c08c5d84e2a72cf373b3eb956cb03dfb,151,4500,0,151
fc4054ba206b1c712627b7845226a119,69,5805,0,69
bb3a3e1e2a3061c86af6e4b8e36a871b,57,795,0,57
7f56837319563a78da0a9c4210ea7af5,4,9,0,4
decd67fff0c63c8069e053384f4654dd,112,7054,0,112
ccd84ab6e9c46fca258d1c96cd4f45f3,171,4095,0,171
8e2d348a2290234428c6c60e0eb99b0e,333,4160,0,333
80800092e0f56ec983542c26aaa091e9,137,2972,0,137
8f9c6bbbb4c41a8f54a97c040205cac6,56,3863,0,56
3ec044d823e3b3f940e6086a3c83bcc1,101,1881,0,101
fabca91ffc4565e99f5e92e4dca3b823,95,2084,0,95
ab2992c0d63ab55522619786845f08f2,96,1677,0,96
5ae7732aae593eeb4838f16e7ef65611,252,47,0,252
fd06883d762c64a6e524b85e3a5a56ba,8,89,0,8
f9a49d41ad981f3a42a0e118782aaaf9,7,1389,0,7
8af783ee59f304008ec49d4cbcbd1d15,217,4981,1,216
9f800047cd8da196d290719e9ef32063,41,25,0,41
48fd34e1ade73835adf56365fbe3c981,15,1,0,15
d0f31ba4726ddecab6c959bd3d175fc5,150,748,0,150
f8e3b11adb469d6754ad6261c17511e7,10,1,0,10
f85b0a4c2847e95a6d759b750373cea5,91,3892,0,91
f2b411e5ea093a0848b363216249c307,18,88,0,18
03f93d55d5f228f38215b9ace20ee760,3,1,0,3
49ff6de72a174a54defdc8b4ed3a981d,171,1838,0,171
ade941cd6024d1e0e2776148e9011f29,42,2592,0,42
b1078d509ac4031cd9f329078394d9a4,274,1408,0,274
